email,username,password,sock,topic_0,pos_0,topic_1,pos_1,topic_2,pos_2,strategy,turk_ids
Connor_6191@sockpuppet.com,Connor_6191,zefbfh,0,How strongly do you favor or oppose the use of nuclear energy as one of the ways to provide electricity for the United States?,Strongly oppose,How likely is it that the Dow Jones will end the year 2020 down at least 20% from its peak in February 2020?,Yes,"How strongly would you approve or disapprove of a two percent annual tax on households whose net worth (including income, real estate, stocks and other investments) is more than 50 million?",Strongly disapprove,UNRESTRICTED,AVMBUHD8M055F
Luke_1653@sockpuppet.com,Luke_1653,iyjfba,0,How strongly do you favor or oppose the use of nuclear energy as one of the ways to provide electricity for the United States?,Strongly oppose,How likely is it that the Dow Jones will end the year 2020 down at least 20% from its peak in February 2020?,Yes,"How strongly would you approve or disapprove of a two percent annual tax on households whose net worth (including income, real estate, stocks and other investments) is more than 50 million?",Strongly disapprove,UNRESTRICTED,AVMBUHD8M055F
Cody_1227@sockpuppet.com,Cody_1227,omlrmf,0,How strongly do you favor or oppose the use of nuclear energy as one of the ways to provide electricity for the United States?,Strongly oppose,How likely is it that the Dow Jones will end the year 2020 down at least 20% from its peak in February 2020?,Yes,"How strongly would you approve or disapprove of a two percent annual tax on households whose net worth (including income, real estate, stocks and other investments) is more than 50 million?",Strongly disapprove,UNRESTRICTED,AVMBUHD8M055F
Diamond_8596@sockpuppet.com,Diamond_8596,eooivq,0,How strongly do you favor or oppose the use of nuclear energy as one of the ways to provide electricity for the United States?,Strongly oppose,How likely is it that the Dow Jones will end the year 2020 down at least 20% from its peak in February 2020?,Yes,"How strongly would you approve or disapprove of a two percent annual tax on households whose net worth (including income, real estate, stocks and other investments) is more than 50 million?",Strongly disapprove,UNRESTRICTED,AVMBUHD8M055F
Carly_7033@sockpuppet.com,Carly_7033,njuvpb,0,How strongly do you favor or oppose the use of nuclear energy as one of the ways to provide electricity for the United States?,Strongly oppose,How likely is it that the Dow Jones will end the year 2020 down at least 20% from its peak in February 2020?,Yes,"How strongly would you approve or disapprove of a two percent annual tax on households whose net worth (including income, real estate, stocks and other investments) is more than 50 million?",Strongly disapprove,UNRESTRICTED,AVMBUHD8M055F
Connor_8640@sockpuppet.com,Connor_8640,tzfzgv,0,How strongly do you favor or oppose the use of nuclear energy as one of the ways to provide electricity for the United States?,Strongly oppose,How likely is it that the Dow Jones will end the year 2020 down at least 20% from its peak in February 2020?,Yes,"How strongly would you approve or disapprove of a two percent annual tax on households whose net worth (including income, real estate, stocks and other investments) is more than 50 million?",Strongly disapprove,UNRESTRICTED,AVMBUHD8M055F
Hannah_1593@sockpuppet.com,Hannah_1593,yjvzyv,1,"How should the United States balance protection of the environment and economy growth?,Protection of the environment should be given priority"," even at the risk of curbing economic growth.""","How strongly would you approve or disapprove of a two percent annual tax on households whose net worth (including income, real estate, stocks and other investments) is more than 50 million?",Strongly approve,How strongly would you approve or disapprove of keeping the current health care system but allowing all adults the option of buying into Medicare if they choose?,Strongly approve,UNRESTRICTED,A3CA5S8GR8TZ1U
Tanner_7615@sockpuppet.com,Tanner_7615,wqjphf,1,"How should the United States balance protection of the environment and economy growth?,Protection of the environment should be given priority"," even at the risk of curbing economic growth.""","How strongly would you approve or disapprove of a two percent annual tax on households whose net worth (including income, real estate, stocks and other investments) is more than 50 million?",Strongly approve,How strongly would you approve or disapprove of keeping the current health care system but allowing all adults the option of buying into Medicare if they choose?,Strongly approve,UNRESTRICTED,A3CA5S8GR8TZ1U
Connor_662@sockpuppet.com,Connor_662,hiuyhy,1,"How should the United States balance protection of the environment and economy growth?,Protection of the environment should be given priority"," even at the risk of curbing economic growth.""","How strongly would you approve or disapprove of a two percent annual tax on households whose net worth (including income, real estate, stocks and other investments) is more than 50 million?",Strongly approve,How strongly would you approve or disapprove of keeping the current health care system but allowing all adults the option of buying into Medicare if they choose?,Strongly approve,UNRESTRICTED,A3CA5S8GR8TZ1U
Katherine_5178@sockpuppet.com,Katherine_5178,eovbjq,1,"How should the United States balance protection of the environment and economy growth?,Protection of the environment should be given priority"," even at the risk of curbing economic growth.""","How strongly would you approve or disapprove of a two percent annual tax on households whose net worth (including income, real estate, stocks and other investments) is more than 50 million?",Strongly approve,How strongly would you approve or disapprove of keeping the current health care system but allowing all adults the option of buying into Medicare if they choose?,Strongly approve,UNRESTRICTED,A3CA5S8GR8TZ1U
